borough,boro,block,lot,bbl,hnum_lo,hnum_hi,str_name,crfn,grantee,deed_date,price,cap_rate,borough_cap_rate,yearqtr,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA,Location1
QN,4,515,31,4005150031,26-Dec,26-Dec,30 AVENUE,2020000000000,PIRZADA ASTOR PLACE LLC,01/05/2021,14800000,0.048,0.04961,2021Q1,,,,,,,,,
QN,4,15544,10,4155440010,27-Nov,27-Nov,NAMEOKE STREET,2020000000000,HF ROCKAWAY LLC,12/14/2020,5168000,0.03466,0.05454,2020Q4,,,,,,,,,
QN,4,3079,86,4030790086,62-82,62-82,SAUNDERS STREET,2020000000000,SAUNDERS COMMONS LLC,12/28/2020,12600000,0.04961,0.05454,2020Q4,11374,40.730355,-73.865779,6,29,687,4072063,Rego Park,"(40.730355, -73.865779)"
MN,1,205,23,1002050023,111,111,MOTT STREET,2020000000000,CC MFP MOTT ST LLC,04/05/2019,9000000,0.01358,0.0351,2019Q2,10013,40.717516,-73.997338,2,1,41,1002642,SoHo-TriBeCa-Civic Center-Little Italy,"(40.717516, -73.997338)"
QN,4,2139,1,4021390001,105-05,105-05,69 AVENUE,2020000000000,GLOBAL 69TH AVENUE LLC,06/24/2020,26500000,0.05454,0.05469,2020Q2,11375,40.724078,-73.848525,6,29,71303,4051285,Forest Hills,"(40.724078, -73.848525)"
QN,4,5040,27,4050400027,132-57,132-57,SANFORD AVENUE,2020000000000,"132-57 SANDFORD AVENUE, LLC",06/21/2018,40400000,0.02584,0.03129,2018Q2,11355,40.755485,-73.831323,7,20,849,4114214,Flushing,"(40.755485, -73.831323)"
BK,3,5063,17,3050630017,31,31,EAST 21 STREET,2020000000000,31 EAST 21ST STREET PARTNERS LLC,06/14/2018,10262870,0.02736,0.03671,2018Q2,11226,40.653633,-73.960616,14,40,50803,3116157,Flatbush,"(40.653633, -73.960616)"
BK,3,5625,11,3056250011,926,932,47 STREET,2020000000000,926 47TH LLC,11/29/2018,6020000,0.02416,0.03398,2018Q4,11219,40.640957,-73.998933,12,38,114,3137064,Borough Park,"(40.640957, -73.998933)"
BX,2,3289,32,2032890032,340,340,MARION AVENUE,2020000000000,340 E 198TH STREET LLC,10/31/2018,3084000,0.02962,0.03443,2018Q4,10458,40.85825,-73.896057,5,15,38302,,Fordham South,"(40.85825, -73.896057)"
MN,1,405,13,1004050013,510,510,EAST 12 STREET,2020000000000,EVP 510 EAST 12TH ST LLC,04/23/2021,9923209,0.01283,0.0556,2021Q2,10009,40.728862,-73.980816,3,2,34,1005170,East Village,"(40.728862, -73.980816)"
BK,3,6378,19,3063780019,8635,8635,21 AVENUE,2020000000000,FIESTA PARK ASSETS LLC,07/23/2020,20000000,0.05429,0.06425,2020Q3,11214,40.602524,-73.996827,11,47,290,3166996,Bensonhurst West,"(40.602524, -73.996827)"
MN,1,277,52,1002770052,31,31,CATHERINE STREET,2020000000000,31 CATHERINE HOLDINGS LLC,01/15/2019,6500000,0.0252,0.03299,2019Q1,10038,40.712502,-73.997039,3,1,8,1003357,Chinatown,"(40.712502, -73.997039)"
QN,4,1231,45,4012310045,39-26,39-26,62 STREET,2020000000000,62 WINDSOR LLC,02/06/2020,4850000,0.03986,0.04586,2020Q1,11377,40.746308,-73.901876,2,26,261,4028378,Woodside,"(40.746308, -73.901876)"
MN,1,1970,34,1019700034,1437,1437,AMSTERDAM AVENUE,2020000000000,"SND20, LLC",12/04/2018,5150000,0.02908,0.03253,2018Q4,10027,40.816395,-73.954053,9,9,21303,1059624,Manhattanville,"(40.816395, -73.954053)"
BX,2,3258,50,2032580050,3344,3344,FT INDEPENDENCE ST,2020000000000,3340 KNBG LLC,07/30/2018,15000000,0.0317,0.03426,2018Q3,10463,40.879027,-73.89955,8,11,279,2015810,Van Cortlandt Village,"(40.879027, -73.89955)"
MN,1,1329,121,1013290121,245,247,EAST 55 STREET,2020000000000,NTB LLC,04/19/2018,19500000,0.01926,0.03345,2018Q2,10022,40.758507,-73.967405,6,4,108,1038588,Turtle Bay-East Midtown,"(40.758507, -73.967405)"
MN,1,454,56,1004540056,329,329,EAST 12 STREET,2020000000000,EVP 329 EAST 12TH ST LLC,04/23/2021,12744046,0.02417,0.0556,2021Q2,10003,40.730674,-73.985073,3,2,40,1006503,East Village,"(40.730674, -73.985073)"
MN,1,1908,4,1019080004,2067,2069,ADAM C POWELL BLVD,2020000000000,"HPH 2067, LLC",12/20/2019,8500000,0.02776,0.04741,2019Q4,10027,40.807953,-73.949059,10,9,222,1057776,Central Harlem South,"(40.807953, -73.949059)"
BK,3,5625,5,3056250005,902,902,47 STREET,2020000000000,902 47TH LLC,11/29/2018,8048000,0.02504,0.03398,2018Q4,11219,40.641242,-73.999402,12,38,114,3137062,Borough Park,"(40.641242, -73.999402)"
BX,2,2810,50,2028100050,219,221,ECHO PLACE,2020000000000,219 ECHO PLACE LLC,09/13/2018,5660000,0.02866,0.03426,2018Q3,10457,40.849751,-73.904723,5,15,23502,,Mount Hope,"(40.849751, -73.904723)"
MN,1,206,4,1002060004,119,119,BAXTER STREET,2020000000000,119 BAXTER STREET CC LLC,12/18/2018,8500000,0.01422,0.03253,2018Q4,10013,40.718065,-73.998975,2,1,41,1079542,SoHo-TriBeCa-Civic Center-Little Italy,"(40.718065, -73.998975)"
MN,1,464,46,1004640046,27,27,ST MARKS PLACE,2020000000000,EVP 27 ST MARKS PLACE LLC,04/23/2021,12916930,0.03407,0.0556,2021Q2,10003,40.728934,-73.988436,3,2,38,1006752,East Village,"(40.728934, -73.988436)"
QN,4,5385,7,4053850007,42-41,42-41,155 STREET,2020000000000,FULLER STREET REALTY LLC,03/17/2021,3175000,0.03379,0.04961,2021Q1,11355,40.76064,-73.810532,7,20,1187,4121511,East Flushing,"(40.76064, -73.810532)"
MN,1,2070,36,1020700036,1590,1590,AMSTERDAM AVENUE,2020000000000,1588-1600 AMS LLC,05/21/2019,16800000,0.0272,0.0351,2019Q2,10031,40.821197,-73.950574,9,7,225,1079851,Hamilton Heights,"(40.821197, -73.950574)"
BK,3,6326,89,3063260089,1751,1751,85 STREET,2020000000000,1478 LLC,06/14/2018,3290000,0.03565,0.03671,2018Q2,11214,40.608373,-74.002852,11,43,178,3165145,Bath Beach,"(40.608373, -74.002852)"
BX,2,3819,59,2038190059,2255,2255,HAVILAND AVENUE,2020000000000,2255 HAVILAND HOLDINGS LLC,04/01/2019,2450000,0.03557,0.03691,2019Q2,10462,40.830726,-73.84899,9,18,92,2026765,Westchester-Unionport,"(40.830726, -73.84899)"
MN,1,1436,34,1014360034,346,346,EAST 62 STREET,2020000000000,346 EAST 62ND LLC,02/19/2019,11833333,0.02862,0.03299,2019Q1,10065,40.761873,-73.961538,8,5,110,1044240,Lenox Hill-Roosevelt Island,"(40.761873, -73.961538)"
BX,2,3739,51,2037390051,1161,1161,ELDER AVENUE,2020000000000,"MAC BRONX PORTFOLIO I, LLC",01/04/2019,8950000,0.02503,0.03667,2019Q1,10472,40.827503,-73.878931,9,17,5002,2023835,Soundview-Bruckner,"(40.827503, -73.878931)"
BX,2,3318,52,2033180052,2775,2775,MORRIS AVENUE,2020000000000,2775 MORRIS AVE LLC,03/04/2021,5675000,0.04334,0.04804,2021Q1,10468,40.869378,-73.894391,7,14,40303,2017513,Van Cortlandt Village,"(40.869378, -73.894391)"
BK,3,5359,43,3053590043,352,360,EAST 8 STREET,2020000000000,352 E8 REALTY LLC,04/27/2021,2800000,0.04948,0.062835,2021Q2,11218,40.641485,-73.97126,12,40,494,,Kensington-Ocean Parkway,"(40.641485, -73.97126)"
BK,3,1234,5,3012340005,808,808,PROSPECT PLACE,2020000000000,DS BROOKLYN PORTFOLIO OWNER LLC,09/21/2018,8650000,0.01988,0.03538,2018Q3,11216,40.674275,-73.949526,8,36,31701,3031229,Crown Heights North,"(40.674275, -73.949526)"
QN,4,15744,7,4157440007,29-32,29-32,BEACH CHANNEL DRIVE,2020000000000,2932 BCD LLC*BEACH CHANNEL OWNER LLC,08/15/2018,19100000,0.03037,0.0325,2018Q3,11691,40.599573,-73.764215,14,31,992,4300850,Hammels-Arverne-Edgemere,"(40.599573, -73.764215)"
BX,2,2293,56,2022930056,456,456,EAST 149 STREET,2020000000000,456 E LLC,05/10/2018,8500000,0.02792,0.03665,2018Q2,10455,40.815325,-73.9159,1,8,43,2000539,Mott Haven-Port Morris,"(40.815325, -73.9159)"
MN,1,2142,97,1021420097,643,643,WEST 172 STREET,2020000000000,643 W 172 WH REALTY LLC,01/21/2021,5200000,0.05515,0.05881,2021Q1,10032,40.844217,-73.939656,12,10,253,1063494,Washington Heights South,"(40.844217, -73.939656)"
BK,3,5840,13,3058400013,6647,6647,BERGEN PLACE,2020000000000,6647 BERGEN PLACE MANAGEMENT LLC,04/28/2021,3750000,0.04796,0.062835,2021Q2,11220,40.639542,-74.028058,10,43,30,3144313,Bay Ridge,"(40.639542, -74.028058)"
MN,1,238,40,1002380040,173,175,HESTER STREET,2020000000000,LEE PAN REALTY CORP.*MJ GROUP HOLDINGS LLC,09/14/2018,22600000,0.02638,0.03329,2018Q3,10013,40.717838,-73.996984,2,1,41,1003114,SoHo-TriBeCa-Civic Center-Little Italy,"(40.717838, -73.996984)"
MN,1,1745,50,1017450050,1829,1829,MADISON AVENUE,2020000000000,1829 MADISON AVE MANAGEMENT LLC,06/25/2021,5500000,0.03169,0.0556,2021Q2,10035,40.801821,-73.943494,11,9,184,1053959,East Harlem North,"(40.801821, -73.943494)"
BX,2,3304,141,2033040141,215,215,EAST 197 STREET,2020000000000,215 EAST 197 ESTATES LLC,02/05/2019,8600000,0.03178,0.03667,2019Q1,10458,40.869122,-73.891061,7,15,40302,2017155,Bedford Park-Fordham North,"(40.869122, -73.891061)"
BK,3,748,55,3007480055,553,553,46 STREET,2020000000000,545-553-557 46TH STREET LLC,01/09/2020,3500000,0.03342,0.05115,2020Q1,11220,40.64666,-74.006836,7,38,96,3011634,Sunset Park East,"(40.64666, -74.006836)"
QN,4,5331,8,4053310008,158-03,158-03,SANFORD AVENUE,2020000000000,158-03 SANFORD AVE LLC,11/13/2019,3500000,0.03222,0.04142,2019Q4,11358,40.76094,-73.807524,7,20,1171,4120371,Murray Hill,"(40.76094, -73.807524)"
QN,4,1566,21,4015660021,41-40,41-40,DENMAN STREET,2020000000000,"41-40 DENMAN STREET VENTURES, LLC",06/21/2018,36000000,0.02419,0.03129,2018Q2,11373,40.746138,-73.873719,4,25,467,4039157,Elmhurst,"(40.746138, -73.873719)"
BK,3,7612,32,3076120032,2405,2405,NOSTRAND AVENUE,2020000000000,212 REALTY E. 34TH LLC,03/06/2019,2800000,0.02457,0.03386,2019Q1,11210,40.625919,-73.946702,18,45,742,3320974,Flatlands,"(40.625919, -73.946702)"
BK,3,5060,43,3050600043,1745,1745,CATON AVENUE,2020000000000,M & M CATON REALTY LLC,06/28/2019,13833000,0.02541,0.03325,2019Q2,11226,40.6514,-73.963374,14,40,50804,3116117,Flatbush,"(40.6514, -73.963374)"
BK,3,6238,39,3062380039,7624,7624,19 AVENUE,2020000000000,1865 REALTY MANAGEMENT LLC,02/12/2019,8000000,0.03344,0.03386,2019Q1,11214,40.611395,-73.994792,11,47,274,,Bensonhurst West,"(40.611395, -73.994792)"
BX,2,4512,5,2045120005,2714,2714,WALLACE AVENUE,2020000000000,2714 WALLACE LLC,04/29/2021,5700000,0.04569,0.04835,2021Q2,10467,40.86596,-73.864435,11,13,340,2053703,Bronxdale,"(40.86596, -73.864435)"
BK,3,826,5,3008260005,702,702,54 STREET,2020000000000,702 PLAZA LLC,02/16/2021,6800000,0.03132,0.0638,2021Q1,11220,40.640114,-74.008107,7,38,106,3014789,Sunset Park East,"(40.640114, -74.008107)"
MN,1,2067,36,1020670036,61,61,ST NICHOLAS PLACE,2020000000000,HARLEM BUILDING MANAGEMENT LLC,06/15/2020,5100000,0.05276,0.06158,2020Q2,10031,40.828888,-73.941231,9,9,23501,1061625,Hamilton Heights,"(40.828888, -73.941231)"
BX,2,4317,19,2043170019,2180,2180,BRONX PARK EAST,2020000000000,2180 BRONX ASSOCIATES LLC,08/22/2018,17500000,0.02422,0.03426,2018Q3,10462,40.85566,-73.869871,11,13,22401,2049371,Pelham Parkway,"(40.85566, -73.869871)"
BX,2,4679,73,2046790073,864,864,EAST 221 STREET,2020000000000,864 BRONX LLC*1109 BRONX LLC,06/28/2018,2300000,0.02337,0.03665,2018Q2,10467,40.883448,-73.857232,12,12,396,2058602,Williamsbridge-Olinville,"(40.883448, -73.857232)"
BX,2,3819,57,2038190057,2257,2257,HAVILAND AVENUE,2020000000000,2257 HAVILAND HOLDINGS LLC,04/01/2019,2450000,0.03557,0.03691,2019Q2,10462,40.830731,-73.84895,9,18,92,2026764,Westchester-Unionport,"(40.830731, -73.84895)"
MN,1,2217,7,1022170007,9,15,POST AVENUE,2020000000000,9-15 POST HOLDING LLC,10/29/2018,10400000,0.02221,0.03253,2018Q4,10034,40.862883,-73.924535,12,10,291,1064708,Marble Hill-Inwood,"(40.862883, -73.924535)"
BK,3,1287,33,3012870033,1030,1030,CARROLL STREET,2020000000000,1030 CARROLL HOLDINGS LLC,07/24/2018,18400000,0.01747,0.03538,2018Q3,11225,40.667636,-73.957054,9,35,325,3033788,Crown Heights South,"(40.667636, -73.957054)"
MN,1,767,66,1007670066,244,244,WEST 18 STREET,2020000000000,246-18 REALTY LLC,10/30/2020,6000000,0.04617,0.06122,2020Q4,10011,40.741604,-73.999184,4,3,81,1013856,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.741604, -73.999184)"
MN,1,2084,62,1020840062,3694,3694,BROADWAY,2020000000000,SKYLINE 3694 LLC,04/24/2018,6255000,0.02244,0.03345,2018Q2,10031,40.831285,-73.946891,9,7,237,1062252,Hamilton Heights,"(40.831285, -73.946891)"
MN,1,2237,43,1022370043,682,682,ACADEMY STREET,2020000000000,682 ACADEMI ST. LLC,08/03/2020,6100000,0.05283,0.06063,2020Q3,10034,40.866968,-73.925419,12,10,295,1064943,Marble Hill-Inwood,"(40.866968, -73.925419)"
MN,1,1236,36,1012360036,594,594,AMSTERDAM AVENUE,2020000000000,GPG 594 LLC,08/14/2018,8600000,0.02048,0.03329,2018Q3,10024,40.789453,-73.973739,7,6,175,1033299,Upper West Side,"(40.789453, -73.973739)"
QN,4,9236,38,4092360038,84-43,84-43,120 STREET,2020000000000,SOLO SELECT RE LLC,05/04/2021,2650000,0.03904,0.048,2021Q2,11415,40.703587,-73.831479,9,29,140,4192939,Kew Gardens,"(40.703587, -73.831479)"
MN,1,1922,11,1019220011,239,241,WEST 116 STREET,2020000000000,"239-241 WEST 116TH OWNER, LLC",12/10/2018,6800000,0.02814,0.03253,2018Q4,10026,40.803928,-73.954181,10,9,218,1058371,Central Harlem South,"(40.803928, -73.954181)"
QN,4,3457,6,4034570006,1702,1702,WOODBINE STREET,2020000000000,1702 LONICERA LP,06/04/2019,3900000,0.03628,0.03942,2019Q2,11385,40.701426,-73.907904,5,34,549,4082598,Ridgewood,"(40.701426, -73.907904)"
BX,2,2526,55,2025260055,1090,1090,UNIVERSITY AVENUE,2020000000000,BX 1090 LLC,01/30/2019,3285000,0.0295,0.03667,2019Q1,10452,40.835689,-73.929643,4,16,193,2003486,Highbridge,"(40.835689, -73.929643)"
BX,2,2456,34,2024560034,1052,1052,SHERIDAN AVENUE,2020000000000,1048-1064 SHERIDAN INVESTORS LLC,06/15/2018,2823000,0.03377,0.03665,2018Q2,10456,40.830664,-73.918739,4,16,18102,2002732,East Concourse-Concourse Village,"(40.830664, -73.918739)"
MN,1,1901,12,1019010012,141,141,WEST 116 STREET,2020000000000,"141 WEST 116TH OWNER, LLC",12/10/2018,4800000,0.02502,0.03253,2018Q4,10026,40.802549,-73.950909,10,9,218,1057395,Central Harlem South,"(40.802549, -73.950909)"
BK,3,6251,47,3062510047,2073,2073,78 STREET,2020000000000,S78 REALTY LLC,12/04/2018,6000000,0.02852,0.03398,2018Q4,11214,40.608247,-73.992091,11,47,272,3161606,Bensonhurst West,"(40.608247, -73.992091)"
BX,2,3275,57,2032750057,2537,2537,DECATUR AVENUE,2020000000000,NIZAO REALTY CORP,02/21/2020,6850000,0.03948,0.04097,2020Q1,10458,40.862072,-73.891579,7,15,39901,2016326,Bedford Park-Fordham North,"(40.862072, -73.891579)"
BX,2,5755,28,2057550028,3246,3246,KINGSBRIDGE AVENUE,2020000000000,3246 KINGSBRIDGE LLC,10/05/2018,6200000,0.02666,0.03443,2018Q4,10463,40.882144,-73.904294,8,11,287,2083560,Spuyten Duyvil-Kingsbridge,"(40.882144, -73.904294)"
BX,2,3074,10,2030740010,632,632,EAST 186 STREET,2020000000000,RDKA LLC,10/30/2019,3800000,0.03538,0.04054,2019Q4,10458,40.854132,-73.88695,6,15,391,2012153,Belmont,"(40.854132, -73.88695)"
QN,4,5046,37,4050460037,142-27,142-27,BARCLAY AVENUE,2020000000000,"200 SUNRISE ASSOCIATES, LLC",05/21/2018,13300000,0.02943,0.03129,2018Q2,11355,40.758689,-73.824897,7,20,855,4114654,Flushing,"(40.758689, -73.824897)"
BX,2,4130,39,2041300039,1802,1802,LURTING AVENUE,2020000000000,LURTING LLC,08/10/2020,4440000,0.0231,0.046565,2020Q3,10461,40.849512,-73.854095,11,13,254,2045595,Van Nest-Morris Park-Westchester Square,"(40.849512, -73.854095)"
MN,1,2180,199,1021800199,110,110,BENNETT AVENUE,2020000000000,110 BENNETT APARTMENTS LLC,04/03/2019,18375000,0.03464,0.0351,2019Q2,10033,40.853733,-73.935021,12,10,271,1064442,Washington Heights North,"(40.853733, -73.935021)"
BX,2,3317,43,2033170043,2719,2719,MORRIS AVENUE,2020000000000,2719-2721 MORRIS AVE. LLC,07/12/2018,10150000,0.03172,0.03426,2018Q3,10468,40.868089,-73.895499,7,14,40304,2092514,Van Cortlandt Village,"(40.868089, -73.895499)"
BX,2,3984,1,2039840001,1400,1400,BENSON STREET,2020000000000,GM 1400 BENSON LLC,12/21/2020,11250000,0.04649,0.04708,2020Q4,10461,40.84065,-73.84406,10,13,200,2041865,Van Nest-Morris Park-Westchester Square,"(40.84065, -73.84406)"
MN,1,2111,10,1021110010,476,482,WEST 165 STREET,2020000000000,FORDWASH PARTNERS LLC*BENTON HEIGHTS LLC*HEIGHTS PARTNERS LLC,11/02/2018,9510000,0.03,0.03253,2018Q4,10032,40.837714,-73.937913,12,10,24301,1062634,Washington Heights South,"(40.837714, -73.937913)"
BK,3,5086,50,3050860050,2150,2150,BEDFORD AVENUE,2020000000000,BEDFORD 2150 LLC,07/02/2018,8500000,0.03325,0.03538,2018Q3,11226,40.651774,-73.955961,14,40,79602,3116715,Prospect Lefferts Gardens-Wingate,"(40.651774, -73.955961)"
BK,3,5122,37,3051220037,1815,1815,BEVERLEY ROAD,2020000000000,PRC 1815 BEVERLEY LLC,07/31/2019,5900000,0.03233,0.032885,2019Q3,11226,40.644653,-73.961926,14,40,512,3117600,Flatbush,"(40.644653, -73.961926)"
QN,4,9773,5,4097730005,162-15,162-15,HIGHLAND AVENUE,2020000000000,BELCREST PARK ASSETS LLC,07/23/2020,22250000,0.0454,0.05469,2020Q3,11432,40.709895,-73.80088,8,24,448,4209099,Briarwood-Jamaica Hills,"(40.709895, -73.80088)"
BK,3,5219,1,3052190001,1900,1900,NEWKIRK AVENUE,2020000000000,PRC 1900 NEWKIRK LLC,07/31/2019,8400000,0.02974,0.032885,2019Q3,11226,40.637296,-73.959624,14,40,518,3120569,Flatbush,"(40.637296, -73.959624)"
QN,4,9436,8,4094360008,118-22,118-22,ATLANTIC AVENUE,2020000000000,ATLANTIC ROYAL LLC,02/27/2020,5845000,0.03887,0.04586,2020Q1,11419,40.693891,-73.828597,9,28,120,4451778,Richmond Hill,"(40.693891, -73.828597)"
BK,3,5058,62,3050580062,11,11,CROOKE AVENUE,2020000000000,11 CROOKE OWNER LLC,11/15/2018,12850000,0.02257,0.03398,2018Q4,11226,40.651944,-73.964751,14,40,50804,3116090,Flatbush,"(40.651944, -73.964751)"
MN,1,405,15,1004050015,514,514,EAST 12 STREET,2020000000000,EVP 514 EAST 12TH ST LLC,04/23/2021,9482177,0.04012,0.0556,2021Q2,10009,40.728834,-73.980748,3,2,34,1005172,East Village,"(40.728834, -73.980748)"
MN,1,2126,48,1021260048,503,503,WEST 169 STREET,2020000000000,503 W 169 LLC,07/11/2018,4900000,0.02855,0.03329,2018Q3,10032,40.840609,-73.936746,12,10,253,1063032,Washington Heights South,"(40.840609, -73.936746)"
MN,1,1988,86,1019880086,523,523,WEST 135 STREET,2020000000000,"523 WEST 135TH STREET, LLC",04/05/2018,7200000,0.02941,0.03345,2018Q2,10031,40.819296,-73.953043,9,7,22301,1059785,Manhattanville,"(40.819296, -73.953043)"
MN,1,460,19,1004600019,216,216,EAST 5 STREET,2020000000000,"MOLL, STEPHAN",07/20/2020,4000000,0.05076,0.06063,2020Q3,10003,40.727452,-73.990609,3,2,38,1006581,East Village,"(40.727452, -73.990609)"
MN,1,1127,58,1011270058,52,52,WEST 75 STREET,2020000000000,52 WEST 75 LLC,10/12/2018,4900000,0.0279,0.03253,2018Q4,10023,40.778777,-73.975996,7,6,161,1028734,Upper West Side,"(40.778777, -73.975996)"
MN,1,1253,45,1012530045,336,336,WEST 95 STREET,2020000000000,5543-336 WEST 95TH STREET MANHATTAN LLC,06/01/2018,30000000,0.02573,0.03345,2018Q2,10025,40.794959,-73.974614,7,6,183,1034185,Upper West Side,"(40.794959, -73.974614)"
BK,3,4626,6,3046260006,202,214,EAST 91 STREET,2020000000000,202 EAST 91 LLC,07/02/2018,7210000,0.03167,0.03538,2018Q3,11212,40.659383,-73.926001,17,41,866,,Rugby-Remsen Village,"(40.659383, -73.926001)"
BX,2,3278,54,2032780054,2749,2749,WEBSTER AVENUE,2020000000000,395 E 197TH STREET LLC,10/31/2018,4590000,0.02626,0.03443,2018Q4,10458,40.865479,-73.886707,7,15,40502,2016389,Bedford Park-Fordham North,"(40.865479, -73.886707)"
MN,1,454,57,1004540057,327,327,EAST 12 STREET,2020000000000,EVP 327 EAST 12TH ST LLC,04/23/2021,11696155,0.03231,0.0556,2021Q2,10003,40.730688,-73.985109,3,2,40,1006504,East Village,"(40.730688, -73.985109)"
